Title,Summary,Type,Overall-Design,Sample source,Organisms,Molecule,Dataset Accession
Unique Patients from the Genomics of Pediatric SIRS and Septic Shock Investigators (GPSSSI),"['Expression profiling by array', 'Third-party reanalysis']","This dataset is composed of the unique patients (276; at the Day 1 timepoint) that are present in the six other GEO datasets published by Hector Wong and the Genomics of Pediatric SIRS and Septic Shock Investigators. This dataset thus includes all unique patients from GSE4607, GSE8121, GSE9692, GSE13904, GSE26378, and GSE26440. These are only from the Day 1 timepoint.","The original studies examined pediatric patients admitted to the ICU, who were later classified as either SIRS (non-infectious) or Sepsis or Septic Shock (infectious). There is also a group of healthy controls. Although the original studies examine patients at both ICU day 1 and ICU day 3, here we have only aggregated ICU day 1 patients. All samples here were downloaded as .CEL files and re-normalized together using gcRMA using R package 'affy'.  The normalized data can be found on the series record and contains the gcRMA normalized expression values.",Whole Blood,Homo sapiens,total RNA,GSE66099
Expression data from validation cohort of children with septic shock,Expression profiling by array,"Background:  Septic shock heterogeneity has important implications for the conduct of clinical trials and individual patient management. We previously addressed this heterogeneity by indentifying 3 putative subclasses of children with septic shock based on a 100-gene expression signature corresponding to adaptive immunity and glucocorticoid receptor signaling. Herein we attempted to prospectively validate the existence of these gene expression-based subclasses in a validation cohort. Methods:  Gene expression mosaics were generated from the 100 class-defining genes for 82 individual patients in the validation cohort. Patients were classified into 1 of 3 subclasses (“A”, “B”, or “C”) based on color and pattern similarity relative to reference mosaics generated from the original derivation cohort. Separate classifications were conducted by 21 individual clinicians and a computer-based algorithm. After subclassification the clinical database was mined for clinical phenotyping. Results:  In the final consensus subclassification generated by clinicians, subclass A patients had a higher illness severity, as measured by illness severity scores and maximal organ failure, relative to subclasses B and C. The k coefficient across all possible inter-evaluator comparisons was 0.633. Similar observations were made based on the computer-generated subclassification. Patients in subclass A were also characterized by repression of a large number of genes having functional annotations related to zinc biology. Conclusions:  We have validated the existence of subclasses of children with septic shock based on a biologically relevant, 100-gene expression signature. The subclasses can be indentified by clinicians without formal bioinformatics training, at a clinically relevant time point, and have clinically relevant phenotypic differences.","Expression data from 82 children with septic shock and 21 normal controls were generated using whole blood-derived RNA samples representing the first 24 hours of admission to the pediatric intensive care unit. The controls were used for normalization. Subsequently, we used the expression data from 100 class defining genes to validate the existence of pediatric septic shock subclasses having phenotypic differences.",Children ≤ 10 years old,Homo sapiens,total RNA,GSE26378
Genome-wide blood transcriptional profiling in critically ill patients - MARS consortium,Expression profiling by array,"The host response in critically ill patients with sepsis, septic shock remains poorly defined. Considerable research has been conducted to accurately distinguish patients with sepsis from those with non-infectious causes of disease. Technological innovations have positioned systems biology at the forefront of biomarker discovery. Analysis of the whole-blood leukocyte transcriptome enables the assessment of thousands of molecular signals beyond simply measuring several proteins in plasma, which for use as biomarkers is important since combinations of biomarkers likely provide more diagnostic accuracy than the measurement of single ones or a few. Evidence suggests that genome-wide transcriptional profiling of blood leukocytes can assist in differentiating between infection and non-infectious causes of severe disease. Of importance, RNA biomarkers have the potential advantage that they can be measured reliably in rapid quantitative reverse transcriptase polymerase chain reaction (qRT-PCR)-based point of care tests.","PAXgene blood RNA was isolated at intensive-care unit (ICU) admission and throughout ICU length-of-stay. Through the use of genome-wide microarrays we aimed to identify molecular features that enbale the adequate discrimination of infectious and non-infectious sources of critical illness. Patient diagnoses include community-acquired pneumonia (cap), hospital-acquired pneumonia (hap) and non-infectious cap control patients (no-cap) (characteristics: pneumonia diagnoses). The influence of variable degrees of thrombocytopenia were also assessed (characteristics: thrombocytopenia).",whole blood,Homo sapiens,total RNA,GSE65682
Expression of Neutrophil-related genes in patients with early sepsis-induced ARDS,Expression profiling by array,"Clinical study of critically ill patients with sepsis and sepsis-related ARDS with whole blood RNA collected within the first 24 hours of admission
Goal of the study was to determine whether biologically relevant genes were identified  to be differentially expressed genes in patients with sepsis alone and sepsis with ARDS","Prospective observational study, case cohort design",blood,Homo sapiens,total RNA,GSE66890
Whole blood mRNA expression profiling of host molecular networks in neonatal sepsis,Expression profiling by array,We aimed to identify the gene network and pathway biology associated with neonatal sepsis by determining genome-wide alterations in host RNA in infected infants,Samples were obtained from control and infected human neonates.,peripheral blood,Homo sapiens,total RNA,GSE25504
Development and Validation of a Novel Molecular Biomarker Diagnostic Test for the Early Detection of Sepsis,Expression profiling by array,"Introduction: Sepsis is a complex immunological response to infection characterized by early hyperinflammation followed by severe and protracted immunosuppression, suggesting that a multi-marker approach has the greatest clinical utility for early detection, within a clinical environment focused on SIRS differentiation. Pre-clinical research using an equine sepsis model identified a panel of gene expression biomarkers that define the early aberrant immune activation. Thus, the primary objective was to apply these gene expression biomarkers to distinguish patients with sepsis from those who had undergone major open surgery and had clinical outcomes consistent with systemic inflammation due to physical trauma and wound healing.
Methods: This was a multi-centre, prospective clinical trial conducted across 4 tertiary critical care settings in Australia. Sepsis patients were recruited if they met the 1992 Consensus Statement criteria and had clinical evidence of systemic infection based on microbiology diagnoses (n=27). Participants in the post-surgical (PS) group were recruited pre-operatively and blood samples collected within 24 hours following surgery (n=38).  Healthy controls (HC) included hospital staff with no known concurrent illnesses (n=20). Each participant had minimally 5ml of PAXgene blood collected for leucocyte RNA isolation and gene expression analyses. Affymetrix array and multiplex tandem (MT)-PCR studies were conducted to evaluate transcriptional profiles in circulating white blood cells applying a set of 42 molecular markers that had been identified a priori. A LogitBoost algorithm was used to create a machine learning diagnostic rule to predict sepsis outcomes.
Results: Based on preliminary microarray analyses comparing HC and sepsis groups. A panel of 42-gene expression markers were identified that represented  key innate and adaptive immune function, cell cycling, WBC differentiation, extracellular remodelling and immune modulation pathways. Comparisons against GEO data confirmed the definitive separation of the sepsis cohort. Quantitative PCR results suggest the capacity for this test to differentiate severe systemic inflammation from HC is 92%. AUC ROC curve findings demonstrated sepsis prediction within a mixed inflammatory population, was between 86 - 92%.
Conclusions: This novel molecular biomarker test has a clinically relevant sensitivity and specificity profile, and has the capacity for early detection of sepsis via the monitoring of critical care patients.
GEO Note: Data made available represents the preliminary microarray investigation performed on Human U133 Plus 2.0 GeneChips (Affymetrix), assaying 41 patient samples (Sepsis n=10, Post-Surgical n=11, Control n=20).","This was a multi-centre, prospective clinical trial conducted across 4 tertiary critical care settings in Australia. Sepsis patients were recruited if they met the 1992 Consensus Statement criteria and had clinical evidence of systemic infection based on microbiology diagnoses (n=27). Participants in the post-surgical (PS) group were recruited pre-operatively and blood samples collected within 24 hours following surgery (n=38).  Healthy controls (HC) included hospital staff with no known concurrent illnesses (n=20). Each participant had minimally 5ml of PAXgene blood collected for leucocyte RNA isolation and gene expression analyses. The GEO data represents the preliminary microarray investigation performed on Human U133 Plus 2.0 GeneChips (Affymetrix), assaying 41 patient samples (Sepsis n=10, Post-Surgical n=11, Control n=20).",Whole blood,Homo sapiens,total RNA,GSE28750
Systemic inflammatory response syndrome and septic shock,Expression profiling by array,"Goal of the experiment:  To identify correlated genes, pathways and groups of patients with systemic inflammatory response syndrome and septic shock that is indicative of biologically important processes active in these patients.
Background:  We measured gene expression levels and profiles of children with systemic inflammatory response syndrome (SIRS) and septic shock as a means for discovering patient sub-groups and gene signatures that are active in disease-affected individuals and potentially in patients with poor outcomes.
Methods:  Microarray and bioinformatics analyses of 123 microarray chips representing whole blood derived RNA from controls, children with SIRS, and children with septic shock.
Results:  A discovery-based filtering approach was undertaken to identify genes whose expression levels were altered in patients with SIRS or septic shock. Clustering of these genes identified 3 Major and several minor sub-groups of patients with SIRS or septic shock. The three groups differed with respect to incidence of septic shock and trended toward differences in mortality. Statistical analyses demonstrated that 6,435 gene probes were differentially regulated between the three patient sub-groups (false discovery rate < 0.001%). Of these gene probes, 623 gene probes within 7 major gene ontologies accounted for the majority of group differentiation. Network analyses of these 623 gene probes demonstrated 5 major gene networks that were differentially expressed between the 3 groups. Statistical comparison of septic shock survivors and non-survivors identified one major gene network that was under expressed in a high fraction of the non-survivors and identified potential biomarkers for poor outcome.
Conclusions:  This is the first genome-level demonstration of pediatric patient sub-groups with SIRS and septic shock. The sub-groups differ clinically and differentially express 5 major gene networks. We have identified gene signatures and potential biomarkers associated with poor outcome in children with septic shock. These data represent a major advancement in our genome-level understanding of pediatric SIRS and septic shock.
Keywords: Septic shock, SIRS, pediatrics, outcome, infection, inflammation","Children < 10 years of age admitted to the pediatric intensive care unit and meeting the criteria for either SIRS or septic shock were eligible for the study. SIRS and septic shock were defined based on pediatric-specific criteria. We did not use separate categories of ""sepsis"" or ""severe sepsis"". Patients meeting criteria for ""sepsis"" or ""severe sepsis"" were placed in the categories of SIRS and septic shock, respectively, for study purposes. Control patients were recruited from the outpatient or inpatient departments of the participating institutions using the following exclusion criteria:  a recent febrile illness (within 2 weeks), recent use of anti-inflammatory medications (within 2 weeks), or any history of chronic or acute disease associated with inflammation.
After obtaining informed consent, blood samples were obtained on Day 1 of the study, and when possible on Day 3 of the study. Blood samples were divided for RNA extraction and isolation of serum. Severity of illness was calculated based on the PRISM III score. Organ failure was defined based on pediatric-specific criteria. Annotated clinical and laboratory data were collected daily while in the intensive care unit. Study patients were placed in the study categories of SIRS or Septic Shock on Day 1 of the study. On Day 3 of the study, patients were classified as SIRS, Septic Shock, or SIRS resolved (no longer meeting criteria for SIRS). All study patients were followed for 28 days to determine mortality or survival. Clinical, laboratory, and biological data were entered and stored using a web-based data base developed locally.",whole blood,Homo sapiens,total RNA,GSE4607
"Expression profiling across the pediatric systemic inflammatory response syndrome, sepsis, and septic shock spectrum",Expression profiling by array,"Normal children, children with SIRS, children with sepsis, and children with septic shock.

Objectives: To advance our biological understanding of pediatric septic shock, we measured the genome-level expression profiles of critically ill children representing the systemic inflammatory response syndrome (SIRS), sepsis, and septic shock spectrum.
Keywords: Normal vs diseased",Prospective observational study involving microarray-based bioinformatics.,"Control_day3, SIRS_day3, SIRS resolved_day3, Sepsis_day3, Septic Shock_day3",Homo sapiens,total RNA,GSE13904
Pediatric septic shock,Expression profiling by array,"In an ongoing translational research program involving microarray-based expression profiles in pediatric septic shock, we have now conducted longitudinal studies focused on the temporal expression profiles of canonical signaling pathways and gene networks. Genome-level expression profiles were generated from whole blood-derived RNA samples of children with septic shock (n = 30 individual patients) corresponding to days 1 and 3 of admission to the pediatric intensive care unit. Based on sequential statistical and expression filters, day 1 and day 3 of septic shock were characterized by differential regulation of 2,142 and 2,504 gene probes, respectively, relative to normal control patients. Venn analysis demonstrated 239 unique genes in the day 1 data set, 598 unique genes in the day 3 data set, and 1,906 genes common to both data sets. Analyses targeted toward derivation of biological function from these data sets demonstrated time-dependent, differential regulation of genes involved in multiple canonical signaling pathways and gene networks primarily related to immunity and inflammation. Notably, multiple and distinct gene networks involving T cell- and MHC antigen-related biological processes were persistently downregulated from day 1 to day 3. Further analyses demonstrated large scale and persistent downregulation of genes corresponding to functional annotations related to zinc homeostasis. These data represent the largest reported cohort of patients with septic shock, which has undergone longitudinal genome-level expression profiling. The data further advance our genome-level understanding of pediatric septic shock and support novel hypotheses that can be readily tested at both the experimental and translational levels.

Keywords: Inflammation; sepsis; innate immunity; T cells; MHC antigen
Keywords: to be updated","To define the longitudinal, genome-level expression profile of children with septic shock.",Whole blood from normal children and children with septic shock.,Homo sapiens,total RNA,GSE8121
Whole blood transcriptome analysis of Septic shock patients according to early therapy response,Expression profiling by high throughput sequencing,"Septic shock is the most severe complication of sepsis, associated with high mortality. The patient’s response to supportive therapy is very heterogeneous and the underlying mechanisms are still elusive. In order to identify which are the actors (genes and pathways) that play a role in establishing the response, we investigate the whole blood transcriptome in septic shock patients with positive and negative responses to early supportive hemodynamic therapy, assessed by changes in SOFA scores within the first 48 hours from ICU admission. We pinpointed genes and pathways that are differently modulated and enriched respectively within 48hrs between responders and non-responders.","We analyzed 31 patients (17 Responders and 14 Not Responders to early therapy). For each patient, 2 samples were collected. In particular the first sample (T1) collected within 16 hours from ICU admission whereas the second (T2) collected within 48 hours from ICU admission. Experimental groups (Responders and Not Responders) are defined accordingly with SOFA scores improvements within 48 hours.","Responder T1 patient1, Responder T2 patient1, Not Responder T1 patient1, Not Responder T2 patient1, Not Responder T1 patient2, Not Responder T2 patient2, Not Responder T1 patient3, Not Responder T2 patient3, Not Responder T1 patient4, Not Responder T2 patient4, Responder T1 patient2, Responder T2 patient2, Not Responder T1 patient5, Not Responder T2 patient5, Responder T1 patient3, Responder T2 patient3, Not Responder T1 patient6, Not Responder T2 patient6, Not Responder T1 patient7, Not Responder T2 patient7, Not Responder T1 patient8, Not Responder T2 patient8, Not Responder T1 patient9, Not Responder T2 patient9, Responder T1 patient4, Responder T2 patient4, Not Responder T1 patient10, Not Responder T2 patient10, Responder T1 patient5, Responder T2 patient5, Not Responder T1 patient11, Not Responder T2 patient11, Responder T1 patient6, Responder T2 patient6, Responder T1 patient7, Responder T2 patient7, Responder T1 patient8, Responder T2 patient8, Responder T1 patient9, Responder T2 patient9, Responder T1 patient10, Responder T2 patient10, Not Responder T1 patient12, Not Responder T2 patient12, Responder T1 patient11, Responder T2 patient11, Responder T1 patient12, Responder T2 patient12, Not Responder T1 patient13, Not Responder T2 patient13, Responder T1 patient13, Responder T2 patient13, Responder T1 patient14, Responder T2 patient14, Responder T1 patient15, Responder T2 patient15, Not Responder T1 patient14, Not Responder T2 patient14, Responder T1 patient16, Responder T2 patient16, Responder T1 patient17, Responder T2 patient17",Homo sapiens,total RNA,GSE110487
Gene-expression profiling of peripheral blood mononuclear cells in sepsis,Expression profiling by array,"To identify signature genes that help distinguish (1) sepsis from non-infectious causes of systemic inflammatory response syndrome, (2) between Gram-positive and Gram-negative sepsis.
Keywords: Class prediction study","A total of 70 critically ill patients were enrolled in a single-centre observational study.  Gene-expression profiling was performed using Affymetrix microarray (U133plus2) with 54,675 transcript.  Data was divided into a training set (n=35) and a validation set (n=35).  A molecular signature was developed in the training set and was then validated in the validation set.",Circulating mononuclear cells,Homo sapiens,total RNA,GSE9960
Biomarker-based classification of bacterial and fungal whole-blood infections in a genome-wide expression study,Expression profiling by array,"Sepsis is a clinical syndrome that can be caused by bacteria or fungi. Early knowledge on the nature of the causative agent is a prerequisite for targeted anti-microbial therapy. Besides currently used detection methods like blood culture and PCR-based assays, the analysis of the transcriptional response of the host to infecting organisms holds great promise. In this study, we aim to examine the transcriptional footprint of infections caused by the bacterial pathogens Staphylococcus aureus and Escherichia coli and the fungal pathogens Candida albicans and Aspergillus fumigatus in a human whole-blood model. Moreover, we use the expression information to build a random forest classifier to determine if the pathogen is bacterial, fungal or neither of the two. After normalizing the transcription intensities using stably expressed reference genes, we filtered the gene set for biomarkers of bacterial or fungal blood infections. This selection is based on differential expression and an additional gene relevance measure. In this way, we identified 38 biomarker genes, including IL6, SOCS3, and IRG1 which were already associated to sepsis by other studies. Using these genes, we trained the classifier and assessed its performance. It yielded a 96% accuracy (sensitivities >93%, specificities >97%) for a 10-fold stratified cross-validation and a 92% accuracy (sensitivities and specificities >83%) for an additional dataset comprising Cryptococcus neoformans infections. Furthermore, the noise-robustness of the classifier suggests high rates of correct class predictions on datasets of new species. In conclusion, this genome-wide approach demonstrates an effective feature selection process in combination with the construction of a well-performing classification model. Further analyses of genes with pathogen-dependent expression patterns can provide insights into the systemic host responses, which may lead to new anti-microbial therapeutic advances.","Analysis of innate immune activation on the basis of gene expression of whole blood cells during ex vivo whole blood infection with bacterial (Staphylococcus aureus, Escherichia coli) and fungal pathogens (Candida albicans, Aspergillus fumigatus) in comparison to mock-treated blood.",Whole blood,Homo sapiens,total RNA,GSE65088
