Title,Summary,Type,Overall-Design,Sample source,Organisms,Molecule,Dataset Accession
Gene expression profiling in pediatric meningococcal sepsis reveals dynamic changes in NK-cell and cytotoxic molecules,Expression profiling by array,"Objective. Meningococcal sepsis remains an important cause of childhood morbidity and mortality. Largely due to logistic complexities of research in young children with acute life-threatening disease, very little is known regarding differential expression kinetics and molecular regulation of immune response genes in leukocyte subsets. 
Materials and methods. In this prospective case-control study, six children with meningococcal sepsis were included. Blood was drawn at four time points (t=0, t=8, t=24 and t=72 h after admission to the paediatric intensive care unit). Blood was also collected from matched controls. Detailed immunophenotyping of leukocytes was performed; RNA isolated from whole blood, lymphocytes, monocytes, and granulocytes was used to perform Affymetrix micro-array gene expression analysis.
Results and conclusion. There were no differences in total leukocyte count between patients and controls. In contrast to previous in vitro studies we observed an unexpected decrease in NK cell numbers, as well as downregulation of NK cell specific and cytotoxic T-cell related gene expression in patients with meningococcal septic shock. By contrast, expression of genes, involved in innate immunity and several other pathways, differed between the different leukocyte subpopulations in a dynamic fashion. Compared to previously reported gene expression profiles, it was possible to define a meningococcal sepsis specific expression profile.","In this prospective case-control study, six children with meningococcal sepsis were included. Blood was drawn at four time points (t=0, t=8, t=24 and t=72 h after admission to the paediatric intensive care unit). Blood was also collected from matched controls. Detailed immunophenotyping of leukocytes was performed; RNA isolated from whole blood, lymphocytes, monocytes, and granulocytes was used to perform Affymetrix micro-array gene expression analysis.
No replicates were performed.
Table 4. Results of between-subject analyses.

Source    Time (h) ca          co/ca at t=T
Blood     t0:  ca:2 3, co: a b c; t8:  2; t24 :ca:1 2 3; t72: ca:1 2.
Lym       t0: ca:2 3, co:a b c d;t8: ca:1 3 4;t24: ca:1 2 3 4 6; t72: ca: 1 2.
Mono      t0:ca: 1 3 4 6, co: a b d; t8: ca:1 2 3; t24:ca: 1 2 3; t72: ca:1.

Numbers represent the patient identification numbers.
Characters represent the individual controls.","Patient1/Lymphocyte/T8, Patient1/Lymphocyte/T24, Patient1/Lymphocyte/T72, Patient1/Monocyte/T0, Patient1/Monocyte/T8, Patient1/Monocyte/T24, Patient1/Monocyte/T72, Patient1/Blood/T24, Patient1/Blood/T72, Patient2/Lymphocyte/T0, Patient2/Lymphocyte/T24, Patient2/Lymphocyte/T72, Patient2/Monocyte/T8, Patient2/Monocyte/T24, Patient2/Blood/T0, Patient2/Blood/T8, Patient2/Blood/T24, Patient2/Blood/T72, Patient3/Lymphocyte/T0, Patient3/Lymphocyte/T8, Patient3/Lymphocyte/T24, Patient3/Monocyte/T0, Patient3/Monocyte/T8, Patient3/Monocyte/T24, Patient3/Blood/T0, Patient3/Blood/T24, Patient4/Lymphocyte/T8, Patient4/Lymphocyte/T24, Patient4/Monocyte/T0, Control-b/Lymphocyte, Control-b/Monocyte, Control-b/Blood, Control-c/Lymphocyte, Control-c/Blood, Control-d/Lymphocyte, Control-d/Monocyte, Control-a/Lymphocyte, Control-a/Monocyte, Control-a/Blood, Patient6/Lymphocyte/T24, Patient6/Monocyte/T0",Homo sapiens,total RNA,GSE11755
Discrimination of SIRS from Sepsis in Critically Ill Adults,Expression profiling by array,"Background: Systemic inflammation is a whole body reaction that can have an infection-positive (i.e. sepsis) or infection-negative origin. It is important to distinguish between septic and non-septic presentations early and reliably, because this has significant therapeutic implications for critically ill patients. We hypothesized that a molecular classifier based on a small number of RNAs expressed in peripheral blood could be discovered that would: 1) determine which patients with systemic inflammation had sepsis; 2) be robust across independent patient cohorts; 3) be insensitive to disease severity; and 4) provide diagnostic utility. The overall goal of this study was to identify and validate such a molecular classifier. Methods and Findings: We conducted an observational, non-interventional study of adult patients recruited from tertiary intensive care units (ICU). Biomarker discovery was conducted with an Australian cohort (n = 105) consisting of sepsis patients and post  -surgical patients with infection-negative systemic inflammation. Using this cohort, a four-gene classifier consisting of a combination of CEACAM4, LAMP1, PLA2G7 and PLAC8 RNA biomarkers was identified. This classifier, designated SeptiCyte® Lab, was externally validated using RT-qPCR and receiver operating characteristic (ROC) curve analysis in five cohorts (n = 345) from the Netherlands. Cohort 1 (n=59) consisted of unambiguous septic cases and infection-negative systemic inflammation controls; SeptiCyte® Lab gave an area under curve (AUC) of 0.96 (95% CI: 0.91-1.00). ROC analysis of a more heterogeneous group of patients (Cohorts 2-5; 249 patients after excluding 37 patients with infection likelihood possible) gave an AUC of 0.89 (95% CI: 0.85-0.93). Disease severity, as measured by Sequential Organ Failure Assessment (SOFA) score or the Acute Physiology and Chronic Health Evaluation (APACHE) IV score, was not a significant confounding variable. The diagnostic utility o  f SeptiCyte® Lab was evaluated by comparison to various clinical and laboratory parameters that would be available to a clinician within 24 hours of ICU admission. SeptiCyte® Lab was significantly better at differentiating sepsis from infection-negative systemic inflammation than all tested parameters, both singly and in various logistic combinations. SeptiCyte® Lab more than halved the diagnostic error rate compared to PCT in all tested cohorts or cohort combinations. Conclusions: SeptiCyte® Lab is a rapid molecular assay that may be clinically useful in the management of ICU patients with systemic inflammation.
SIRS and Sepsis ICU patients, admission samples","Retrospective, mutli-site sutdy using retrospective physician adjudication as a comparator",peripheral blood,Homo sapiens,total RNA,GSE74224
Fractalkine receptor CX3CR1 and leukocyte Ig-like receptor B2 LILRB2 are prognostic biomarkers in septic shock,Expression profiling by array,"Sepsis is a major health concern, with high morbidity and mortality workdwide. In order to identify prognostic biomarkers in septic shock patients, we performed a microarray study exploring the early modulation of gene expression according to day 28 mortality.
Several candidate biomarkers including CX3CR1 and LILRB2 were identified as prognostic biomarkers.","51 septic shock patients and 22 healthy volunteers were included in this study. Septic shock patients were sampled twice, at admission, and a second time at D2 or D3. Admission samples from septic shock patients were compared to healthy volunteers, and according to day 28 survival status. Modulation of gene expression between the 2 time points was also analyzed according to day 28 survival.","Control 500, Control 526, Control 529, Control 530, Control 535, Control 553, Control 598, Control 628, Control 742, Control 789, Control 793, Control 511, Control 513, Control 517, Control 523, Control 528, Control 532, Control 534, Control 537, Control 538, Patient 108, Day1, Patient 108, Day2, Patient 115, Day1, Patient 115, Day3, Patient 119, Day1, Patient 119, Day2, Patient 121, Day1, Patient 121, Day3, Patient 124, Day1, Patient 124, Day3, Patient 135, Day1, Patient 135, Day3, Patient 142, Day1, Patient 142, Day3, Patient 151, Day1, Patient 151, Day3, Patient 153, Day1, Patient 153, Day3, Patient 16, Day1, Patient 16, Day2, Patient 175, Day1, Patient 175, Day3, Patient 183, Day1, Patient 183, Day2, Patient 19, Day1, Patient 19, Day2, Patient 209, Day1, Patient 209, Day3, Patient 211, Day1, Patient 211, Day3, Patient 213, Day1, Patient 213, Day2, Patient 215, Day1, Patient 215, Day2, Patient 21, Day1, Patient 21, Day3, Patient 248, Day1, Patient 248, Day2, Patient 27, Day1, Patient 27, Day2, Patient 32, Day1, Patient 32, Day3, Patient 33, Day1, Patient 33, Day3, Patient 43, Day1, Patient 43, Day3, Patient 44, Day1, Patient 44, Day3, Patient 46, Day1, Patient 46, Day3, Patient 54, Day1, Patient 54, Day3, Patient 69, Day1, Patient 69, Day3, Patient 70, Day1, Patient 70, Day2, Patient 72, Day1, Patient 72, Day3, Patient 74, Day1, Patient 74, Day2, Patient 80, Day1, Patient 80, Day3, Patient 86, Day1, Patient 86, Day2, Patient 93, Day1, Patient 93, Day3, Patient 95, Day1, Patient 95, Day3, Patient 102, Day1, Patient 102, Day2, Patient 123, Day1, Patient 123, Day2, Patient 168, Day1, Patient 168, Day2, Patient 179, Day1, Patient 179, Day2, Patient 18, Day1, Patient 18, Day2, Patient 198, Day1, Patient 198, Day3, Patient 201, Day1, Patient 201, Day2, Patient 212, Day1, Patient 212, Day2, Patient 216, Day1, Patient 216, Day3, Patient 35, Day1, Patient 35, Day3, Patient 36, Day1, Patient 36, Day3, Patient 62, Day1, Patient 62, Day3, Patient 67, Day1, Patient 67, Day3, Patient 68, Day1, Patient 68, Day3, Patient 77, Day1, Patient 77, Day2, Patient 78, Day1, Patient 78, Day3, Patient 81, Day1, Patient 81, Day3",Homo sapiens,total RNA,GSE95233
Marked alterations of neutrophil functions during sepsis-induced immunosuppression,Expression profiling by array,"Background: Severe septic syndromes deeply impair innate and adaptive immunity. While neutrophils represent the first line of defense against infection, little is known about their phenotype and functions during sepsis-induced immunosuppression. The objective of this study was thus to perform for the first time a global evaluation of neutrophil alterations in immunosuppressed septic patients based on phenotypic, functional and transcriptomic studies. In addition, the potential association of these parameters and deleterious outcomes was assessed.
Methods: Peripheral blood was collected from 9 septic shock patients at D3-4 and D6-8 presenting with features of sepsis-induced immunosuppression and compared to 8 healthy controls.
Results: In order to get on overview of potential neutrophil alterations after sepsis, we performed transcriptomic analyses on purified neutrophils from 9 septic shock patients and 8 healthy volunteers. For each time point, comparisons were made between patients and controls. Venn diagrams indicated that 364 up-regulated genes and 328 down-regulated genes were common between the two analyses (Supplementary Tables 1 and 2). Interestingly, most of the differentially expressed genes are involved in cell maturation (CD177), apoptosis (STK4, Caspase 8), cell recruitment and chemotaxis (CD44, TPST, MMP9, CREB1), and antimicrobial properties (ARG1, STOM, ADAM9, CD63, YKL40) of neutrophils.
Conclusions: The aim of the current study was to perform an extensive investigation of neutrophil alterations during sepsis-induced immunosuppression through phenotypic, functional and transcriptomic studies. Notably, transcriptomic study on purified neutrophils revealed differentially expressed genes between septic patients and healthy volunteers.",9 septic shock patients at D3-4 and D6-8 presenting with features of sepsis-induced immunosuppression and compared to 8 healthy controls,Purified neutrophils,Homo sapiens,total RNA,GSE64457
Early and dynamic changes in gene expression in septic shock patients: a genome wide approach,Expression profiling by array,"Background: As early and appropriate care of severe septic patients is associated with better outcome, understanding of very first events in the disease process is needed. Pan-genomic analyses offer an interesting opportunity to study global genomic response within the very first hours after sepsis.   The objective of this study was to investigate the systemic genomic response in severe Intensive Care Unit (ICU) patients and determine whether patterns of gene expression could be associated with clinical severity evaluated by severity score.   Methods: Twenty-eight ICU patients were enrolled at the onset of septic shock. Blood samples were collected within 30 minutes, 24 and 48 hours after shock and genomic response was evaluated using microarrays. The genome wide expression pattern of blood leukocytes was sequentially compared to healthy volunteers and after stratification based on SAPSII score to identify potential mechanisms of dysregulation.   Results: Septic shock induces a global reprogramming of the whole leukocyte transcriptome affecting multiple functions and pathways (> 71% of the whole genome was modified). Most altered pathways were not significantly different between SAPSII-high and SAPSII-low groups of patients. However the magnitude and the duration of these alterations were different between these two groups. Importantly, we observed that the more severe patients did not exhibit the strongest modulation. This indicates that some regulation mechanisms leading to recovery seem to take place at early stage.   Conclusion: In conclusion, both pro- and anti-inflammatory processes, measured at the transcriptomic level, are induced within the very first hours after septic shock. Interestingly, the more severe patients did not exhibit the strongest modulation. This highlights that, not only the responses mechanisms by themself but mainly their early and appropriate regulation, are crucial for patient recovery. This reinforces the idea that an immediate and tailored aggressive care of patients, aimed at restoring an appropriately regulated immune response, may have a beneficial impact on outcome.","Twenty-eight ICU patients were enrolled at the onset of septic shock. Blood samples were collected within 30 minutes, 24 and 48 hours after septic shock and compared to twenty-five healthy volunteers","patient 001, H0, patient 001, H24, patient 001, H48, patient 002, H0, patient 002, H24, patient 002, H48, patient 003, H0, patient 003, H24, patient 003, H48, patient 004, H0, patient 004, H24, patient 004, H48, patient 005, H0, patient 005, H24, patient 005, H48, patient 006, H0, patient 006, H24, patient 006, H48, patient 007, H0, patient 007, H24, patient 007, H48, patient 008, H0, patient 008, H24, patient 008, H48, patient 009, H0, patient 009, H24, patient 009, H48, patient 010, H0, patient 010, H24, patient 010, H48, patient 011, H0, patient 011, H24, patient 011, H48, patient 013, H0, patient 013, H24, patient 013, H48, patient 014, H0, patient 014, H24, patient 014, H48, patient 015, H0, patient 015, H24, patient 015, H48, patient 017, H0, patient 017, H24, patient 017, H48, patient 018, H0, patient 018, H24, patient 018, H48, patient 019, H0, patient 019, H24, patient 019, H48, patient 020, H0, patient 020, H24, patient 021, H0, patient 021, H24, patient 021, H48, patient 101, H0, patient 101, H24, patient 101, H48, patient 102, H0, patient 102, H24, patient 102, H48, patient 104, H0, patient 104, H24, patient 104, H48, patient 105, H0, patient 105, H24, patient 106, H0, patient 106, H24, patient 106, H48, patient 107, H0, patient 107, H24, patient 107, H48, patient 108, H0, patient 108, H24, patient 108, H48, patient 109, H0, patient 109, H24, patient 109, H48, patient 111, H0, patient 111, H24, patient 111, H48, Temoin HV01, Temoin HV02, Temoin HV03, Temoin HV04, Temoin HV05, Temoin HV06, Temoin HV07, Temoin HV08, Temoin HV09, Temoin HV10, Temoin HV11, Temoin HV12, Temoin HV13, Temoin HV14, Temoin HV15, Temoin HV16, Temoin HV17, Temoin HV18, Temoin HV19, Temoin HV20, Temoin HV21, Temoin HV22, Temoin HV23, Temoin HV24, Temoin HV25",Homo sapiens,total RNA,GSE57065
Gene Expression-Based Classifiers Identify Staphylococcus aureus Infection in Mice and Humans,Expression profiling by array,"Staphylococcus aureus causes a spectrum of human infection. Diagnostic delays and uncertainty lead to treatment delays and inappropriate antibiotic use. A growing literature suggests the host’s inflammatory response to the pathogen represents a potential tool to improve upon current diagnostics. The hypothesis of this study is that the host responds differently to S. aureus than to E. coli infection in a quantifiable way, providing a new diagnostic avenue. This study uses Bayesian sparse factor modeling and penalized binary regression to define peripheral blood gene-expression classifiers of murine and human S. aureus infection. The murine-derived classifier distinguished S. aureus infection from healthy controls and Escherichia coli-infected mice across a range of conditions (mouse and bacterial strain, time post infection) and was validated in outbred mice (AUC>0.97). A S. aureus classifier derived from a cohort of 95 human subjects distinguished S. aureus blood stream infection (BSI) from healthy subjects (AUC 0.99) and E. coli BSI (AUC 0.82). Murine and human responses to S. aureus infection share common biological pathways, allowing the murine model to classify S. aureus BSI in humans (AUC 0.84). Both murine and human S. aureus classifiers were validated in an independent human cohort (AUC 0.95 and 0.94, respectively).  The approach described here lends insight into the conserved and disparate pathways utilized by mice and humans in response to these infections.  Furthermore, this study advances our understanding of S. aureus infection; the host response to it; and identifies new diagnostic and therapeutic avenues.","To create a host gene expression-based classifier for S. aureus infection, mice from a variety of experimental conditions were utilized.  Seven different strains of inbred mice (n=187 total) were challenged with four different S. aureus strains via intraperitoneal inoculation and sacrificed at various time points as described in Methods.  The comparator group for model derivation included 50 A/J or C57BL/6J mice inoculated with E. coli (O18:K1:H7) as well as 54 uninfected mice. Next, the murine S. aureus classifier was externally validated in outbred CD-1 mice with S. aureus infection (Sanger 476 or USA300), E. coli infection (O18:K1:H7), or uninfected controls (10 animals per condition).   Method: All experiments were performed on mice 6-8 weeks old.  For the murine S. aureus predictor, seven inbred mouse strains (3 mice/strain: 129S1/SvImJ, A/J, AKR/J, BALB/cByJ, C57BL/6J, C3H/HeJ, and NOD/LtJ) were IP inoculated with 107 CFU/g of S. aureus Sanger476, euthanized at 2h after injection, and bled. This was repeated using four different S. aureus strains (USA100, USA300, MW2, and Sanger476) in A/J mice (n=3 per S. aureus strain). For time series experiments, both A/J and C57BL/6J mouse strains were IP inoculated with S. aureus Sanger476 as above, and sacrificed at 2, 4, 6, and 12h after injection (n=5 per time point).","blood 129S1/SvImJ mouse strain NOT infected, blood 129S1/SvImJ mouse strain blood taken 2 hours after infection with S. aureus Sanger476, blood A/J mouse strain NOT infected, blood A/J mouse strain blood taken 24 hours after infection with E. coli, blood A/J mouse strain blood taken 2 hours after infection with S. aureus MW2, blood A/J mouse strain blood taken 2 hours after infection with S. aureus Sanger476, blood A/J mouse strain blood taken 4 hours after infection with S. aureus Sanger476, blood A/J mouse strain blood taken 6 hours after infection with S. aureus Sanger476, blood A/J mouse strain blood taken 12 hours after infection with S. aureus Sanger476, blood A/J mouse strain blood taken 2 hours after infection with S. aureus USA100, blood A/J mouse strain blood taken 2 hours after infection with S. aureus USA300, blood AKR/J mouse strain NOT infected, blood AKR/J mouse strain blood taken 2 hours after infection with S. aureus Sanger476, blood BALB/cBy mouse strain NOT infected, blood BALB/cBy mouse strain blood taken 2 hours after infection with S. aureus Sanger476, blood C3H/HeJ mouse strain NOT infected, blood C3H/HeJ mouse strain blood taken 2 hours after infection with S. aureus Sanger476, blood C57BL/6J mouse strain blood taken 2 hours after infection with S. aureus Sanger476, blood C57BL/6J mouse strain NOT infected, blood C57BL/6J mouse strain blood taken 24 hours after infection with E. coli, blood C57BL/6J mouse strain blood taken 4 hours after infection with S. aureus Sanger476, blood C57BL/6J mouse strain blood taken 6 hours after infection with S. aureus Sanger476, blood C57BL/6J mouse strain blood taken 12 hours after infection with S. aureus Sanger476, blood NOD/ShiLtJ mouse strain NOT infected, blood NOD/ShiLtJ mouse strain blood taken 2 hours after infection with S. aureus Sanger476, blood A/J mouse strain blood taken 2 hours after infection with E. coli, blood A/J mouse strain blood taken 6 hours after infection with E. coli, blood A/J mouse strain blood taken 12 hours after infection with E. coli, blood C57BL/6J mouse strain blood taken 2 hours after infection with E. coli, blood C57BL/6J mouse strain blood taken 6 hours after infection with E. coli, blood C57BL/6J mouse strain blood taken 12 hours after infection with E. coli, blood CD1 mouse strain NOT infected, blood CD1 mouse strain blood taken 2 hours after infection with S. aureus Sanger476, blood CD1 mouse strain blood taken 2 hours after infection with S. aureus USA300, blood CD1 mouse strain blood taken 24 hours after infection with E. coli, blood patient with E. coli bacteremia prior antibiotic treatment (Emergency Department), blood patient with S. aureus bacteremia prior antibiotic treatment (Emergency Department), blood human NOT infected","Mus musculus, Homo sapiens",total RNA,GSE33341
An Endotoxin Tolerance Signature Predicts Sepsis and Organ Dysfunction at Initial Clinical Presentation,Expression profiling by high throughput sequencing,"Background: Sepsis involves aberrant immune responses to infection, but the exact nature of this immune dysfunction remains poorly defined. Bacterial endotoxins like lipopolysaccharide (LPS) are potent inducers of inflammation, which has been associated with the pathophysiology of sepsis, but repeated exposure can also induce a suppressive effect known as endotoxin tolerance or cellular reprogramming. It has been proposed that endotoxin tolerance might be associated with the immunosuppressive state that was primarily observed during late-stage sepsis. However, this relationship remains poorly characterised. Here we clarify the underlying mechanisms and timing of immune dysfunction in sepsis. 
Methods: We defined a gene expression signature characteristic of endotoxin tolerance. Gene-set test approaches were used to correlate this signature with early sepsis, both newly and retrospectively analysing microarrays from 593 patients in 11 cohorts. Then we recruited a unique cohort of possible sepsis patients at first clinical presentation in an independent blinded controlled observational study to determine whether this signature was associated with the development of confirmed sepsis and organ dysfunction. 
Findings: All sepsis patients presented an expression profile strongly associated with the endotoxin tolerance signature (p < 0.01; AUC 96.1%). Importantly, this signature further differentiated between suspected sepsis patients who did, or did not, go on to develop confirmed sepsis, and predicted the development of organ dysfunction. 
Interpretation: Our data support an updated model of sepsis pathogenesis in which endotoxin tolerance-mediated immune dysfunction (cellular reprogramming) is present throughout the clinical course of disease and related to disease severity. Thus endotoxin tolerance might offer new insights guiding the development of new therapies and diagnostics for early sepsis.","For the RNA-Seq study reported here, 73 patients were recruited with deferred consent at the time of first examination in an emergency ward based on the opinion of physicians that there was a potential for the patient's condition to develop into sepsis. These were retrospectively divided into groups based on clinical features and compared to 11 non-urgent surgical controls.","whole blood_No Sepsis T0, whole blood_Sepsis T0, whole blood_Control T0",Homo sapiens,total RNA,GSE63311
Transcriptome of the septic shock,"['Expression profiling by array', 'Third-party reanalysis']","Septic shock by pneumopathy was studied in prospective way in 20 patients and compared to normal blood. Blood samples were taken within 12 hours of diagnosis and the resulting transcritomes were compared to 42 normal control samples (selected samples from series GSE10715, GSE12711, GSE16728 and GSE7400).
keywords: patient cohort study, septic shock, transcription-profile, blood",In total 20 patients were tested before specific treatment and compared to 42 control samples.,blood sample,Homo sapiens,total RNA,GSE33118
